task,year,venue,method,title,paper_url,code_url,project_url,tags,note
VSS,2016,ECCV,Clockwork,Clockwork ConvNets for Video Semantic Segmentation,https://scholar.google.com/scholar?q=Clockwork+ConvNets+for+Video+Semantic+Segmentation,NA,NA,Real-time;Feature reuse,Stage-wise clocks and cached features for efficient video semantic segmentation.
VSS,2017,ICCV,NetWarp,Semantic Video CNNs Through Representation Warping,https://scholar.google.com/scholar?q=Semantic+Video+CNNs+Through+Representation+Warping,NA,NA,Flow;Feature propagation,Warps CNN representations across frames using optical flow.
VSS,2017,ICCV,PEARL,Video Scene Parsing with Predictive Feature Learning,https://scholar.google.com/scholar?q=Video+Scene+Parsing+with+Predictive+Feature+Learning,NA,NA,Flow;Prediction,Predictive feature learning for temporally coherent video scene parsing.
VSS,2018,CVPR,GCRF,Deep Spatio-Temporal Random Fields for Efficient Video Segmentation,https://scholar.google.com/scholar?q=Deep+Spatio-Temporal+Random+Fields+for+Efficient+Video+Segmentation,NA,NA,Flow;CRF,Spatio-temporal CRF modeling for efficient video segmentation.
VSS,2018,CVPR,Accel,Accel: A Corrective Fusion Network for Efficient Semantic Segmentation on Video,https://scholar.google.com/scholar?q=Accel+A+Corrective+Fusion+Network+for+Efficient+Semantic+Segmentation+on+Video,NA,NA,Flow;Efficiency,Low-resolution motion prediction with high-resolution refinement.
VSS,2020,CVPR,TDNet,Temporally Distributed Networks for Fast Video Semantic Segmentation,https://scholar.google.com/scholar?q=Temporally+Distributed+Networks+for+Fast+Video+Semantic+Segmentation,NA,NA,Attention;Real-time,Feature distillation and multi-scale temporal aggregation.
VSS,2020,CVPR,Naive-Student,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation,https://scholar.google.com/scholar?q=Naive-Student+Leveraging+Semi-Supervised+Learning+in+Video+Sequences+for+Urban+Scene+Segmentation,NA,NA,Semi-supervised;Pseudo labels,Iterative self-training for video semantic segmentation.
VSS,2022,CVPR,CFFM,Coarse-to-Fine Feature Mining for Video Semantic Segmentation,https://openaccess.thecvf.com/content/CVPR2022/html/Sun_Coarse-To-Fine_Feature_Mining_for_Video_Semantic_Segmentation_CVPR_2022_paper.html,https://github.com/GuoleiSun/VSS-CFFM,NA,Attention;Temporal context,Adaptive multi-scale feature mining for VSS.
VSS,2022,ECCV,MRCFA,Mining Relations Among Cross-Frame Affinities for Video Semantic Segmentation,https://scholar.google.com/scholar?q=Mining+Relations+Among+Cross-Frame+Affinities+for+Video+Semantic+Segmentation,NA,NA,Attention;Affinity,Models complex motion through cross-frame affinity mining.
VSS,2023,CVPR,SSLTM,Simultaneously Short- and Long-Term Temporal Modeling for Semi-Supervised Video Semantic Segmentation,https://openaccess.thecvf.com/content/CVPR2023/html/Lao_Simultaneously_Short-_and_Long-Term_Temporal_Modeling_for_Semi-Supervised_Video_Semantic_Segmentation_CVPR_2023_paper.html,NA,NA,Semi-supervised;Long-term,Short- and long-term temporal modeling for label-efficient VSS.
VSS,2023,NeurIPS,MPVSS,Mask Propagation for Efficient Video Semantic Segmentation,https://scholar.google.com/scholar?q=Mask+Propagation+for+Efficient+Video+Semantic+Segmentation,NA,NA,Mask propagation;Efficiency,Keyframe-guided mask propagation for efficient VSS.
VSS,2024,CVPR,VPSeg,Vanishing-Point-Guided Video Semantic Segmentation of Driving Scenes,https://openaccess.thecvf.com/content/CVPR2024/html/Guo_Vanishing-Point-Guided_Video_Semantic_Segmentation_of_Driving_Scenes_CVPR_2024_paper.html,https://github.com/Daniel-Guo/VPSeg,NA,Transformer;Geometry,Injects vanishing-point priors for driving-scene VSS.
VSS,2024,TPAMI,CFFM++,Learning Local and Global Temporal Contexts for Video Semantic Segmentation,https://scholar.google.com/scholar?q=Learning+Local+and+Global+Temporal+Contexts+for+Video+Semantic+Segmentation,https://github.com/GuoleiSun/VSS-CFFM,NA,Attention;Temporal context,Extends CFFM with local and global temporal context modeling.
VSS,2025,CVPR,TV3S,Exploiting Temporal State Space Sharing for Video Semantic Segmentation,https://openaccess.thecvf.com/content/CVPR2025/html/Hesham_Exploiting_Temporal_State_Space_Sharing_for_Video_Semantic_Segmentation_CVPR_2025_paper.html,NA,NA,Mamba;State space,State-space temporal sharing for efficient long-range VSS.
VIS,2019,ICCV,MaskTrack R-CNN,Video Instance Segmentation,https://openaccess.thecvf.com/content_ICCV_2019/html/Yang_Video_Instance_Segmentation_ICCV_2019_paper.html,NA,NA,Tracking-by-detection;Baseline,Introduces the YouTube-VIS task and MaskTrack R-CNN baseline.
VIS,2020,ECCV,STEm-Seg,STEm-Seg: Spatio-temporal Embeddings for Instance Segmentation in Videos,https://scholar.google.com/scholar?q=STEm-Seg+Spatio-temporal+Embeddings+for+Instance+Segmentation+in+Videos,NA,NA,Embedding;Clip-level,Spatio-temporal embeddings over video clips.
VIS,2020,CVPR,MaskProp,Classifying Segmenting and Tracking Object Instances in Video with Mask Propagation,https://openaccess.thecvf.com/content_CVPR_2020/html/Bertasius_Classifying_Segmenting_and_Tracking_Object_Instances_in_Video_With_Mask_Propagation_CVPR_2020_paper.html,NA,NA,Mask propagation;Tracking,Instance feature propagation across frames.
VIS,2021,CVPR,VisTR,End-to-End Video Instance Segmentation with Transformers,https://openaccess.thecvf.com/content/CVPR2021/html/Wang_End-to-End_Video_Instance_Segmentation_With_Transformers_CVPR_2021_paper.html,https://github.com/Epiphqny/VisTR,NA,Transformer;Set prediction,End-to-end clip-level VIS with Transformer queries.
VIS,2021,NeurIPS,IFC,Video Instance Segmentation Using Inter-Frame Communication Transformers,https://scholar.google.com/scholar?q=Video+Instance+Segmentation+Using+Inter-Frame+Communication+Transformers,NA,NA,Transformer;Inter-frame communication,Two-stage inter-frame communication for VIS.
VIS,2021,ICCV,CrossVIS,Crossover Learning for Fast Online Video Instance Segmentation,https://openaccess.thecvf.com/content/ICCV2021/html/Yang_Crossover_Learning_for_Fast_Online_Video_Instance_Segmentation_ICCV_2021_paper.html,https://github.com/hustvl/CrossVIS,NA,Online;Dynamic convolution,Fast online VIS with crossover learning.
VIS,2022,ECCV,SeqFormer,SeqFormer: Sequential Transformer for Video Instance Segmentation,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/4669_ECCV_2022_paper.php,https://github.com/wjf5203/SeqFormer,NA,Transformer;Query,Sequential Transformer with query-based temporal modeling.
VIS,2022,NeurIPS,MinVIS,MinVIS: A Minimal Video Instance Segmentation Framework without Video-Based Training,https://proceedings.neurips.cc/paper_files/paper/2022/hash/5946db33de276c90b3438224d2aaa2aa-Abstract-Conference.html,https://github.com/NVlabs/MinVIS,NA,Transformer;Minimal training,Image-level training plus inference-time query association.
VIS,2022,ECCV,IDOL,In Defense of Online Models for Video Instance Segmentation,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/6895_ECCV_2022_paper.php,NA,NA,Online;Contrastive learning,Online query-based VIS with strong temporal association.
VIS,2022,CVPR,TeViT,Temporally Efficient Vision Transformer for Video Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2022/html/Yang_Temporally_Efficient_Vision_Transformer_for_Video_Instance_Segmentation_CVPR_2022_paper.html,NA,NA,Transformer;Efficiency,Temporally efficient multi-scale Transformer for VIS.
VIS,2023,CVPR,GenVIS,A Generalized Framework for Video Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2023/html/Heo_A_Generalized_Framework_for_Video_Instance_Segmentation_CVPR_2023_paper.html,https://github.com/haochenheheda/GenVIS,NA,Transformer;Generalized training,Multi-clip training pipeline for generalized VIS.
VIS,2023,ICCV,DVIS,Decoupled Video Instance Segmentation Framework,https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_DVIS_Decoupled_Video_Instance_Segmentation_Framework_ICCV_2023_paper.html,https://github.com/zhang-tao-whu/DVIS,NA,Decoupled;Transformer,Separates detection segmentation and association for VIS.
